District,NumberStations,NumberIncidents,NumberStandards,avgPercentage,avgTime90
CENTRAL,11,3474,2857,91,7
NORTHERN,11,1805,1243,86,8
EASTERN,11,1471,1034,89,8
SOUTHERN D1,9,1722,1205,87,8
WESTERN D1,8,1215,775,78,9
WESTERN D2,10,1442,923,79,9
WESTERN D3,5,604,430,86,8
NORTH & WEST REGIONAL,6,636,474,86,8
SOUTH & EAST REGIONAL,6,557,433,86,8
SOUTHERN D2,8,1363,933,85,9
