dis,sNumber,sTag,servArea,totInc,emInc,numStand,perMet,90Avg,q,rank
CENTRAL,3,FS3,Carlton,342,324,317,97.8,6.5,2,1
CENTRAL,1,FS1,Eastern Hill,380,364,353,97,6,2,2
WESTERN D3,66,FS66,Ocean Grove,37,31,30,96.8,6.2,2,3
EASTERN,85,FS85,Boronia,100,78,75,96.2,6.9,2,4
SOUTHERN D1,86,FS86,Rowville,69,53,51,96.2,7,2,5
CENTRAL,38,FS38,South Melbourne,420,396,378,95.5,6.8,2,6
EASTERN,30,FS30,Templestowe,75,62,59,95.2,7.4,2,7
CENTRAL,2,FS2,West Melbourne,330,300,284,94.7,6.6,2,8
NORTHERN,14,FS14,Bundoora,171,152,144,94.7,7.4,2,9
WESTERN D2,44,FS44,Sunshine,172,134,126,94,7.3,2,10
NORTH & WEST REGIONAL,67,FS67,Ballarat City,116,110,103,93.6,6.6,2,11
EASTERN,28,FS28,Vermont South,147,122,114,93.4,7.3,2,12
SOUTH & EAST REGIONAL,74,FS74,Wangaratta,60,56,52,92.9,6.6,2,13
SOUTHERN D2,94,FS94,Mornington,89,85,79,92.9,7,2,14
WESTERN D3,64,FS64,Belmont,117,104,96,92.3,7.5,2,15
SOUTH & EAST REGIONAL,77,FS77,Traralgon,69,65,60,92.3,7.7,2,16
EASTERN,22,FS22,Ringwood,176,136,125,91.9,7.5,2,17
NORTHERN,15,FS15,Heidelberg,211,183,168,91.8,7.4,2,18
SOUTHERN D2,91,FS91,Frankston,225,195,179,91.8,7.6,2,19
SOUTH & EAST REGIONAL,78,FS78,Morwell,88,84,77,91.7,7.2,2,20
CENTRAL,10,FS10,Richmond,307,294,269,91.5,7.2,2,21
CENTRAL,4,FS4,Brunswick,216,174,159,91.4,7.4,2,22
EASTERN,27,FS27,Nunawading,129,103,94,91.3,7.5,2,23
WESTERN D1,47,FS47,Footscray,200,181,165,91.2,7.4,2,24
EASTERN,20,FS20,Box Hill,203,177,161,91,7.5,2,25
NORTHERN,16,FS16,Greensborough,91,77,70,90.9,7.7,2,26
EASTERN,26,FS26,Croydon,131,97,88,90.7,7.5,2,27
CENTRAL,39,FS39,Port Melbourne,143,121,109,90.1,7.4,2,28
SOUTHERN D1,24,FS24,Malvern,195,169,152,89.9,8,2,29
SOUTHERN D2,95,FS95,Rosebud,71,59,53,89.8,7.7,2,30
CENTRAL,35,FS35,Windsor,511,449,402,89.5,7.7,2,31
WESTERN D2,41,FS41,St Albans,147,114,102,89.5,7.8,2,32
NORTHERN,12,FS12,Preston,171,142,127,89.4,7.6,2,33
EASTERN,23,FS23,Burwood,166,134,119,88.8,7.9,2,34
SOUTH & EAST REGIONAL,79,FS79,Latrobe West,66,62,55,88.7,7.4,2,35
SOUTHERN D1,25,FS25,Oakleigh,161,132,117,88.6,8.1,2,36
CENTRAL,50,FS50,Ascot Vale,179,157,139,88.5,8.1,2,37
NORTH & WEST REGIONAL,72,FS72,Mildura,102,96,85,88.5,7.9,2,38
SOUTHERN D1,29,FS29,Clayton,131,103,91,88.3,7.9,2,39
WESTERN D3,63,FS63,Geelong City,178,154,136,88.3,7.9,2,40
WESTERN D1,40,FS40,Laverton,129,101,89,88.1,8.4,2,41
CENTRAL,18,FS18,Hawthorn,222,190,167,87.9,8.2,2,42
EASTERN,19,FS19,North Balwyn,115,92,80,87,8.1,2,43
NORTHERN,7,FS7,Thomastown,134,106,92,86.8,8.3,2,44
WESTERN D3,62,FS62,Corio,198,174,151,86.8,8,2,45
NORTHERN,9,FS9,Somerton,91,75,65,86.7,8.3,2,46
WESTERN D2,43,FS43,Deer Park,131,96,83,86.5,8.5,2,47
SOUTHERN D2,87,FS87,Dandenong,284,248,214,86.3,8.4,2,48
NORTH & WEST REGIONAL,68,FS68,Lucas,40,36,31,86.1,7.9,2,49
WESTERN D1,42,FS42,Newport,98,86,74,86,8.4,2,50
CENTRAL,13,FS13,Northcote,167,139,119,85.6,8.2,2,51
SOUTHERN D1,31,FS31,Glen Waverley,248,210,179,85.2,8.4,2,52
NORTH & WEST REGIONAL,70,FS70,Warrnambool,104,88,75,85.2,8.6,2,53
NORTHERN,81,FS81,South Morang,31,27,23,85.2,7.9,2,54
SOUTHERN D1,34,FS34,Highett,211,174,148,85.1,8,2,55
NORTHERN,5,FS5,Broadmeadows,256,214,182,85,8.5,2,56
SOUTHERN D2,90,FS90,Patterson River,81,70,59,84.3,9.1,2,57
NORTH & WEST REGIONAL,71,FS71,Portland,32,31,26,83.9,8.3,2,58
SOUTHERN D1,32,FS32,Ormond,265,216,181,83.8,8.5,2,59
SOUTHERN D1,89,FS89,Springvale,156,128,107,83.6,8.2,2,60
NORTHERN,11,FS11,Epping,122,109,91,83.5,8.5,2,61
NORTH & WEST REGIONAL,73,FS73,Bendigo,174,166,138,83.1,8.6,2,62
WESTERN D1,46,FS46,Altona,50,41,34,82.9,8.3,2,63
WESTERN D2,48,FS48,Taylors Lakes,59,46,38,82.6,8.5,2,64
SOUTHERN D1,33,FS33,Mentone,143,118,97,82.2,8.2,2,65
WESTERN D1,45,FS45,Spotswood,64,55,45,81.8,8.5,2,66
EASTERN,82,FS82,Eltham City,64,53,43,81.1,7.9,2,67
NORTHERN,6,FS6,Pascoe Vale,177,140,113,80.7,9,2,68
EASTERN,84,FS84,South Warrandyte,26,20,16,80,8.7,2,69
WESTERN D2,51,FS51,Keilor,112,88,70,79.5,8.6,2,70
SOUTH & EAST REGIONAL,75,FS75,Shepparton,161,156,124,79.5,10,2,71
SOUTHERN D2,92,FS92,Cranbourne,151,112,89,79.5,9.8,2,72
SOUTH & EAST REGIONAL,76,FS76,Wodonga,109,105,83,79,8.8,2,73
NORTHERN,80,FS80,Craigieburn,140,117,91,77.8,9.5,2,74
SOUTHERN D2,88,FS88,Hallam,201,148,115,77.7,9.3,2,75
SOUTHERN D2,93,FS93,Pakenham,118,106,82,77.4,8.6,2,76
WESTERN D1,58,FS58,Point Cook,81,76,58,76.3,9.6,2,77
WESTERN D2,53,FS53,Sunbury,87,79,60,75.9,9.9,2,78
WESTERN D2,52,FS52,Tullamarine,122,99,74,74.7,9.3,2,79
WESTERN D2,56,FS56,Melton,220,190,142,74.7,10,2,80
WESTERN D1,59,FS59,Derrimut,64,55,41,74.5,8.6,2,81
WESTERN D1,49,FS49,North Laverton,104,84,62,73.8,8.4,2,82
WESTERN D2,54,FS54,Greenvale,47,35,23,65.7,9.3,2,83
WESTERN D1,57,FS57,Tarneit,244,199,127,63.8,10.5,2,84
WESTERN D2,55,FS55,Caroline Springs,179,162,94,58,9.6,2,85
WESTERN D3,61,FS61,Lara,58,51,25,49,11.3,2,86
