dis,sNumber,sTag,servArea,incType,numInc,numStand,perMet,90Avg,q,rank,rankQ4
NORTH & WEST REGIONAL,6,agr,NORTH & WEST REGIONAL,emInc,93,79,86.47,7.98,4,4,4
SOUTH & EAST REGIONAL,6,agr,SOUTH & EAST REGIONAL,nonInc,9,73,86.43,8.09,4,5,5
SOUTH & EAST REGIONAL,6,agr,SOUTH & EAST REGIONAL,emInc,84,73,86.43,8.09,4,5,5
WESTERN D3,5,agr,WESTERN D3,nonInc,21,86,86.38,7.83,4,6,6
WESTERN D3,5,agr,WESTERN D3,emInc,100,86,86.38,7.83,4,6,6
NORTHERN,11,agr,NORTHERN,nonInc,33,113,86.18,8.19,4,7,7
NORTHERN,11,agr,NORTHERN,emInc,132,113,86.18,8.19,4,7,7
SOUTHERN D2,8,agr,SOUTHERN D2,nonInc,33,117,85.21,8.63,4,8,8
SOUTHERN D2,8,agr,SOUTHERN D2,emInc,138,117,85.21,8.63,4,8,8
WESTERN D2,10,agr,WESTERN D2,nonInc,28,93,79.46,9,4,9,9
WESTERN D2,10,agr,WESTERN D2,emInc,117,93,79.46,9,4,9,9
WESTERN D1,8,agr,WESTERN D1,nonInc,27,97,77.96,9.05,4,10,10
WESTERN D1,8,agr,WESTERN D1,emInc,125,97,77.96,9.05,4,10,10
CENTRAL,1,FS1,Eastern Hill,nonInc,14,339,98,5.7,1,1,2
CENTRAL,1,FS1,Eastern Hill,emInc,346,339,98,5.7,1,1,2
SOUTH & EAST REGIONAL,78,FS78,Morwell,nonInc,1,50,98,6.7,1,2,15
SOUTH & EAST REGIONAL,78,FS78,Morwell,emInc,51,50,98,6.7,1,2,15
EASTERN,85,FS85,Boronia,nonInc,15,95,97.9,7,1,3,28
EASTERN,85,FS85,Boronia,emInc,97,95,97.9,7,1,3,28
CENTRAL,3,FS3,Carlton,nonInc,1,328,96.5,6.4,1,4,3
CENTRAL,3,FS3,Carlton,emInc,340,328,96.5,6.4,1,4,3
NORTHERN,12,FS12,Preston,nonInc,24,193,96.5,7.3,1,5,12
NORTHERN,12,FS12,Preston,emInc,200,193,96.5,7.3,1,5,12
NORTH & WEST REGIONAL,67,FS67,Ballarat City,nonInc,5,120,96,6.2,1,6,4
NORTH & WEST REGIONAL,67,FS67,Ballarat City,emInc,125,120,96,6.2,1,6,4
CENTRAL,4,FS4,Brunswick,nonInc,15,207,95.8,6.8,1,7,17
CENTRAL,4,FS4,Brunswick,emInc,216,207,95.8,6.8,1,7,17
CENTRAL,10,FS10,Richmond,nonInc,10,334,95.7,6.5,1,8,16
CENTRAL,10,FS10,Richmond,emInc,349,334,95.7,6.5,1,8,16
EASTERN,28,FS28,Vermont South,nonInc,15,134,95.7,7.1,1,9,19
EASTERN,28,FS28,Vermont South,emInc,140,134,95.7,7.1,1,9,19
SOUTHERN D1,86,FS86,Rowville,nonInc,1,65,95.6,6.7,1,10,21
SOUTHERN D1,86,FS86,Rowville,emInc,68,65,95.6,6.7,1,10,21
EASTERN,20,FS20,Box Hill,nonInc,27,168,95.5,7,1,11,10
EASTERN,20,FS20,Box Hill,emInc,176,168,95.5,7,1,11,10
CENTRAL,38,FS38,South Melbourne,nonInc,13,432,95.2,6.6,1,12,14
CENTRAL,38,FS38,South Melbourne,emInc,454,432,95.2,6.6,1,12,14
CENTRAL,2,FS2,West Melbourne,nonInc,6,343,95,6.8,1,13,7
