dis,sNumber,sTag,servArea,incType,numInc,numStand,perMet,90Avg,q,rank,rankQ4
WESTERN D2,41,FS41,St Albans,emInc,114,102,89.5,7.8,2,32,13
NORTHERN,12,FS12,Preston,nonInc,29,127,89.4,7.6,2,33,12
NORTHERN,12,FS12,Preston,emInc,142,127,89.4,7.6,2,33,12
EASTERN,23,FS23,Burwood,nonInc,32,119,88.8,7.9,2,34,5
EASTERN,23,FS23,Burwood,emInc,134,119,88.8,7.9,2,34,5
SOUTH & EAST REGIONAL,79,FS79,Latrobe West,nonInc,4,55,88.7,7.4,2,35,53
SOUTH & EAST REGIONAL,79,FS79,Latrobe West,emInc,62,55,88.7,7.4,2,35,53
SOUTHERN D1,25,FS25,Oakleigh,nonInc,29,117,88.6,8.1,2,36,29
SOUTHERN D1,25,FS25,Oakleigh,emInc,132,117,88.6,8.1,2,36,29
CENTRAL,50,FS50,Ascot Vale,nonInc,22,139,88.5,8.1,2,37,48
CENTRAL,50,FS50,Ascot Vale,emInc,157,139,88.5,8.1,2,37,48
NORTH & WEST REGIONAL,72,FS72,Mildura,nonInc,6,85,88.5,7.9,2,38,33
NORTH & WEST REGIONAL,72,FS72,Mildura,emInc,96,85,88.5,7.9,2,38,33
SOUTHERN D1,29,FS29,Clayton,nonInc,28,91,88.3,7.9,2,39,8
SOUTHERN D1,29,FS29,Clayton,emInc,103,91,88.3,7.9,2,39,8
WESTERN D3,63,FS63,Geelong City,nonInc,24,136,88.3,7.9,2,40,9
WESTERN D3,63,FS63,Geelong City,emInc,154,136,88.3,7.9,2,40,9
WESTERN D1,40,FS40,Laverton,nonInc,28,89,88.1,8.4,2,41,74
WESTERN D1,40,FS40,Laverton,emInc,101,89,88.1,8.4,2,41,74
CENTRAL,18,FS18,Hawthorn,nonInc,32,167,87.9,8.2,2,42,47
CENTRAL,18,FS18,Hawthorn,emInc,190,167,87.9,8.2,2,42,47
EASTERN,19,FS19,North Balwyn,nonInc,23,80,87,8.1,2,43,61
EASTERN,19,FS19,North Balwyn,emInc,92,80,87,8.1,2,43,61
NORTHERN,7,FS7,Thomastown,nonInc,28,92,86.8,8.3,2,44,45
NORTHERN,7,FS7,Thomastown,emInc,106,92,86.8,8.3,2,44,45
WESTERN D3,62,FS62,Corio,nonInc,24,151,86.8,8,2,45,64
WESTERN D3,62,FS62,Corio,emInc,174,151,86.8,8,2,45,64
NORTHERN,9,FS9,Somerton,nonInc,16,65,86.7,8.3,2,46,20
NORTHERN,9,FS9,Somerton,emInc,75,65,86.7,8.3,2,46,20
WESTERN D2,43,FS43,Deer Park,nonInc,35,83,86.5,8.5,2,47,73
WESTERN D2,43,FS43,Deer Park,emInc,96,83,86.5,8.5,2,47,73
SOUTHERN D2,87,FS87,Dandenong,nonInc,36,214,86.3,8.4,2,48,56
SOUTHERN D2,87,FS87,Dandenong,emInc,248,214,86.3,8.4,2,48,56
NORTH & WEST REGIONAL,68,FS68,Lucas,nonInc,4,31,86.1,7.9,2,49,50
NORTH & WEST REGIONAL,68,FS68,Lucas,emInc,36,31,86.1,7.9,2,49,50
WESTERN D1,42,FS42,Newport,nonInc,12,74,86,8.4,2,50,43
WESTERN D1,42,FS42,Newport,emInc,86,74,86,8.4,2,50,43
CENTRAL,13,FS13,Northcote,nonInc,28,119,85.6,8.2,2,51,59
CENTRAL,13,FS13,Northcote,emInc,139,119,85.6,8.2,2,51,59
SOUTHERN D1,31,FS31,Glen Waverley,nonInc,38,179,85.2,8.4,2,52,54
SOUTHERN D1,31,FS31,Glen Waverley,emInc,210,179,85.2,8.4,2,52,54
NORTH & WEST REGIONAL,70,FS70,Warrnambool,nonInc,16,75,85.2,8.6,2,53,60
NORTH & WEST REGIONAL,70,FS70,Warrnambool,emInc,88,75,85.2,8.6,2,53,60
NORTHERN,81,FS81,South Morang,nonInc,4,23,85.2,7.9,2,54,44
NORTHERN,81,FS81,South Morang,emInc,27,23,85.2,7.9,2,54,44
SOUTHERN D1,34,FS34,Highett,nonInc,37,148,85.1,8,2,55,68
SOUTHERN D1,34,FS34,Highett,emInc,174,148,85.1,8,2,55,68
NORTHERN,5,FS5,Broadmeadows,nonInc,42,182,85,8.5,2,56,69
NORTHERN,5,FS5,Broadmeadows,emInc,214,182,85,8.5,2,56,69
SOUTHERN D2,90,FS90,Patterson River,nonInc,11,59,84.3,9.1,2,57,75
SOUTHERN D2,90,FS90,Patterson River,emInc,70,59,84.3,9.1,2,57,75
NORTH & WEST REGIONAL,71,FS71,Portland,nonInc,1,26,83.9,8.3,2,58,51
NORTH & WEST REGIONAL,71,FS71,Portland,emInc,31,26,83.9,8.3,2,58,51
SOUTHERN D1,32,FS32,Ormond,nonInc,49,181,83.8,8.5,2,59,62
SOUTHERN D1,32,FS32,Ormond,emInc,216,181,83.8,8.5,2,59,62
SOUTHERN D1,89,FS89,Springvale,nonInc,28,107,83.6,8.2,2,60,63
SOUTHERN D1,89,FS89,Springvale,emInc,128,107,83.6,8.2,2,60,63
NORTHERN,11,FS11,Epping,nonInc,13,91,83.5,8.5,2,61,23
NORTHERN,11,FS11,Epping,emInc,109,91,83.5,8.5,2,61,23
NORTH & WEST REGIONAL,73,FS73,Bendigo,nonInc,8,138,83.1,8.6,2,62,65
NORTH & WEST REGIONAL,73,FS73,Bendigo,emInc,166,138,83.1,8.6,2,62,65
WESTERN D1,46,FS46,Altona,nonInc,9,34,82.9,8.3,2,63,57
WESTERN D1,46,FS46,Altona,emInc,41,34,82.9,8.3,2,63,57
WESTERN D2,48,FS48,Taylors Lakes,nonInc,13,38,82.6,8.5,2,64,49
WESTERN D2,48,FS48,Taylors Lakes,emInc,46,38,82.6,8.5,2,64,49
SOUTHERN D1,33,FS33,Mentone,nonInc,25,97,82.2,8.2,2,65,37
SOUTHERN D1,33,FS33,Mentone,emInc,118,97,82.2,8.2,2,65,37
WESTERN D1,45,FS45,Spotswood,nonInc,9,45,81.8,8.5,2,66,71
WESTERN D1,45,FS45,Spotswood,emInc,55,45,81.8,8.5,2,66,71
EASTERN,82,FS82,Eltham City,nonInc,11,43,81.1,7.9,2,67,39
EASTERN,82,FS82,Eltham City,emInc,53,43,81.1,7.9,2,67,39
NORTHERN,6,FS6,Pascoe Vale,nonInc,37,113,80.7,9,2,68,72
NORTHERN,6,FS6,Pascoe Vale,emInc,140,113,80.7,9,2,68,72
EASTERN,84,FS84,South Warrandyte,nonInc,6,16,80,8.7,2,69,70
EASTERN,84,FS84,South Warrandyte,emInc,20,16,80,8.7,2,69,70
WESTERN D2,51,FS51,Keilor,nonInc,24,70,79.5,8.6,2,70,36
WESTERN D2,51,FS51,Keilor,emInc,88,70,79.5,8.6,2,70,36
SOUTH & EAST REGIONAL,75,FS75,Shepparton,nonInc,5,124,79.5,10,2,71,41
SOUTH & EAST REGIONAL,75,FS75,Shepparton,emInc,156,124,79.5,10,2,71,41
SOUTHERN D2,92,FS92,Cranbourne,nonInc,39,89,79.5,9.8,2,72,67
SOUTHERN D2,92,FS92,Cranbourne,emInc,112,89,79.5,9.8,2,72,67
SOUTH & EAST REGIONAL,76,FS76,Wodonga,nonInc,4,83,79,8.8,2,73,66
SOUTH & EAST REGIONAL,76,FS76,Wodonga,emInc,105,83,79,8.8,2,73,66
NORTHERN,80,FS80,Craigieburn,nonInc,23,91,77.8,9.5,2,74,77
NORTHERN,80,FS80,Craigieburn,emInc,117,91,77.8,9.5,2,74,77
SOUTHERN D2,88,FS88,Hallam,nonInc,53,115,77.7,9.3,2,75,55
SOUTHERN D2,88,FS88,Hallam,emInc,148,115,77.7,9.3,2,75,55
SOUTHERN D2,93,FS93,Pakenham,nonInc,12,82,77.4,8.6,2,76,58
SOUTHERN D2,93,FS93,Pakenham,emInc,106,82,77.4,8.6,2,76,58
WESTERN D1,58,FS58,Point Cook,nonInc,5,58,76.3,9.6,2,77,79
WESTERN D1,58,FS58,Point Cook,emInc,76,58,76.3,9.6,2,77,79
WESTERN D2,53,FS53,Sunbury,nonInc,8,60,75.9,9.9,2,78,76
WESTERN D2,53,FS53,Sunbury,emInc,79,60,75.9,9.9,2,78,76
WESTERN D2,52,FS52,Tullamarine,nonInc,23,74,74.7,9.3,2,79,80
WESTERN D2,52,FS52,Tullamarine,emInc,99,74,74.7,9.3,2,79,80
WESTERN D2,56,FS56,Melton,nonInc,30,142,74.7,10,2,80,78
WESTERN D2,56,FS56,Melton,emInc,190,142,74.7,10,2,80,78
WESTERN D1,59,FS59,Derrimut,nonInc,9,41,74.5,8.6,2,81,85
WESTERN D1,59,FS59,Derrimut,emInc,55,41,74.5,8.6,2,81,85
WESTERN D2,54,FS54,Greenvale,nonInc,12,23,65.7,9.3,2,83,81
WESTERN D2,54,FS54,Greenvale,emInc,35,23,65.7,9.3,2,83,81
WESTERN D1,57,FS57,Tarneit,nonInc,45,127,63.8,10.5,2,84,82
WESTERN D1,57,FS57,Tarneit,emInc,199,127,63.8,10.5,2,84,82
WESTERN D2,55,FS55,Caroline Springs,nonInc,17,94,58,9.6,2,85,84
WESTERN D2,55,FS55,Caroline Springs,emInc,162,94,58,9.6,2,85,84
WESTERN D3,61,FS61,Lara,nonInc,7,25,49,11.3,2,86,83
WESTERN D3,61,FS61,Lara,emInc,51,25,49,11.3,2,86,83
WESTERN D3,66,FS66,Ocean Grove,nonInc,1,23,100,5.87,3,1,1
WESTERN D3,66,FS66,Ocean Grove,emInc,23,23,100,5.87,3,1,1
NORTH & WEST REGIONAL,67,FS67,Ballarat City,nonInc,8,74,100,5.48,3,2,4
NORTH & WEST REGIONAL,67,FS67,Ballarat City,emInc,74,74,100,5.48,3,2,4
NORTH & WEST REGIONAL,68,FS68,Lucas,nonInc,4,44,100,6.83,3,3,50
NORTH & WEST REGIONAL,68,FS68,Lucas,emInc,44,44,100,6.83,3,3,50
CENTRAL,1,FS1,Eastern Hill,nonInc,15,350,97.5,5.5,3,4,2
CENTRAL,1,FS1,Eastern Hill,emInc,359,350,97.5,5.5,3,4,2
CENTRAL,3,FS3,Carlton,nonInc,19,319,96.7,6.27,3,5,3
CENTRAL,3,FS3,Carlton,emInc,330,319,96.7,6.27,3,5,3
WESTERN D3,64,FS64,Belmont,nonInc,24,87,96.7,7.05,3,6,27
WESTERN D3,64,FS64,Belmont,emInc,90,87,96.7,7.05,3,6,27
CENTRAL,38,FS38,South Melbourne,nonInc,17,337,96.6,6.48,3,7,14
CENTRAL,38,FS38,South Melbourne,emInc,349,337,96.6,6.48,3,7,14
CENTRAL,10,FS10,Richmond,nonInc,14,238,95.6,6.7,3,8,16
CENTRAL,10,FS10,Richmond,emInc,249,238,95.6,6.7,3,8,16
NORTHERN,16,FS16,Greensborough,nonInc,15,65,95.6,7.55,3,9,31
NORTHERN,16,FS16,Greensborough,emInc,68,65,95.6,7.55,3,9,31
SOUTH & EAST REGIONAL,77,FS77,Traralgon,nonInc,5,63,95.5,7.28,3,10,52
SOUTH & EAST REGIONAL,77,FS77,Traralgon,emInc,66,63,95.5,7.28,3,10,52
NORTH & WEST REGIONAL,71,FS71,Portland,nonInc,4,20,95.2,7.05,3,11,51
NORTH & WEST REGIONAL,71,FS71,Portland,emInc,21,20,95.2,7.05,3,11,51
WESTERN D1,47,FS47,Footscray,nonInc,30,172,95,7,3,12,35
WESTERN D1,47,FS47,Footscray,emInc,181,172,95,7,3,12,35
SOUTHERN D1,86,FS86,Rowville,nonInc,14,37,94.9,6.7,3,13,21
SOUTHERN D1,86,FS86,Rowville,emInc,39,37,94.9,6.7,3,13,21
EASTERN,28,FS28,Vermont South,nonInc,20,72,94.7,7.05,3,14,19
EASTERN,28,FS28,Vermont South,emInc,76,72,94.7,7.05,3,14,19
CENTRAL,39,FS39,Port Melbourne,nonInc,9,107,94.7,7.13,3,15,32
CENTRAL,39,FS39,Port Melbourne,emInc,113,107,94.7,7.13,3,15,32
EASTERN,23,FS23,Burwood,nonInc,20,113,94.2,7.08,3,16,5
EASTERN,23,FS23,Burwood,emInc,120,113,94.2,7.08,3,16,5
NORTHERN,81,FS81,South Morang,nonInc,6,48,94.1,7.67,3,17,44
NORTHERN,81,FS81,South Morang,emInc,51,48,94.1,7.67,3,17,44
WESTERN D2,44,FS44,Sunshine,nonInc,35,168,93.9,7.5,3,18,24
WESTERN D2,44,FS44,Sunshine,emInc,179,168,93.9,7.5,3,18,24
CENTRAL,2,FS2,West Melbourne,nonInc,29,262,93.6,6.57,3,19,7
CENTRAL,2,FS2,West Melbourne,emInc,280,262,93.6,6.57,3,19,7
NORTHERN,12,FS12,Preston,nonInc,19,130,93.5,7.23,3,20,12
NORTHERN,12,FS12,Preston,emInc,139,130,93.5,7.23,3,20,12
SOUTH & EAST REGIONAL,78,FS78,Morwell,nonInc,9,70,93.3,6.77,3,21,15
SOUTH & EAST REGIONAL,78,FS78,Morwell,emInc,75,70,93.3,6.77,3,21,15
CENTRAL,4,FS4,Brunswick,nonInc,27,164,93.2,7.32,3,22,17
CENTRAL,4,FS4,Brunswick,emInc,176,164,93.2,7.32,3,22,17
EASTERN,26,FS26,Croydon,nonInc,24,106,93,7.13,3,23,11
EASTERN,26,FS26,Croydon,emInc,114,106,93,7.13,3,23,11
SOUTH & EAST REGIONAL,74,FS74,Wangaratta,nonInc,9,64,92.8,7.52,3,24,38
SOUTH & EAST REGIONAL,74,FS74,Wangaratta,emInc,69,64,92.8,7.52,3,24,38
CENTRAL,35,FS35,Windsor,nonInc,52,375,92.1,7.23,3,25,34
CENTRAL,35,FS35,Windsor,emInc,407,375,92.1,7.23,3,25,34
WESTERN D3,63,FS63,Geelong City,nonInc,18,135,91.8,7.6,3,26,9
WESTERN D3,63,FS63,Geelong City,emInc,147,135,91.8,7.6,3,26,9
SOUTHERN D1,31,FS31,Glen Waverley,nonInc,21,187,91.7,7.67,3,27,54
SOUTHERN D1,31,FS31,Glen Waverley,emInc,204,187,91.7,7.67,3,27,54
NORTH & WEST REGIONAL,73,FS73,Bendigo,nonInc,6,133,91.7,7.7,3,28,65
NORTH & WEST REGIONAL,73,FS73,Bendigo,emInc,145,133,91.7,7.7,3,28,65
EASTERN,27,FS27,Nunawading,nonInc,15,96,91.4,7.55,3,29,18
EASTERN,27,FS27,Nunawading,emInc,105,96,91.4,7.55,3,29,18
EASTERN,20,FS20,Box Hill,nonInc,21,126,91.3,7.63,3,30,10
EASTERN,20,FS20,Box Hill,emInc,138,126,91.3,7.63,3,30,10
NORTHERN,14,FS14,Bundoora,nonInc,20,100,90.9,7.8,3,31,46
NORTHERN,14,FS14,Bundoora,emInc,110,100,90.9,7.8,3,31,46
EASTERN,22,FS22,Ringwood,nonInc,11,97,90.7,7.97,3,32,22
EASTERN,22,FS22,Ringwood,emInc,107,97,90.7,7.97,3,32,22
SOUTHERN D1,25,FS25,Oakleigh,nonInc,21,115,90.6,7.62,3,33,29
SOUTHERN D1,25,FS25,Oakleigh,emInc,127,115,90.6,7.62,3,33,29
SOUTHERN D1,33,FS33,Mentone,nonInc,30,87,90.6,8.08,3,34,37
SOUTHERN D1,33,FS33,Mentone,emInc,96,87,90.6,8.08,3,34,37
NORTHERN,6,FS6,Pascoe Vale,nonInc,27,90,90,8.4,3,35,72
NORTHERN,6,FS6,Pascoe Vale,emInc,100,90,90,8.4,3,35,72
SOUTHERN D2,94,FS94,Mornington,nonInc,11,62,89.9,7.95,3,36,25
SOUTHERN D2,94,FS94,Mornington,emInc,69,62,89.9,7.95,3,36,25
SOUTHERN D2,95,FS95,Rosebud,nonInc,10,44,89.8,7.68,3,37,6
SOUTHERN D2,95,FS95,Rosebud,emInc,49,44,89.8,7.68,3,37,6
SOUTHERN D1,29,FS29,Clayton,nonInc,20,104,89.7,7.88,3,38,8
SOUTHERN D1,29,FS29,Clayton,emInc,116,104,89.7,7.88,3,38,8
WESTERN D1,42,FS42,Newport,nonInc,4,68,89.5,7.72,3,39,43
WESTERN D1,42,FS42,Newport,emInc,76,68,89.5,7.72,3,39,43
NORTHERN,15,FS15,Heidelberg,nonInc,25,155,89.1,7.98,3,40,42
NORTHERN,15,FS15,Heidelberg,emInc,174,155,89.1,7.98,3,40,42
WESTERN D2,53,FS53,Sunbury,nonInc,12,56,88.9,8.15,3,41,76
WESTERN D2,53,FS53,Sunbury,emInc,63,56,88.9,8.15,3,41,76
WESTERN D2,43,FS43,Deer Park,nonInc,18,85,88.5,8.03,3,42,73
WESTERN D2,43,FS43,Deer Park,emInc,96,85,88.5,8.03,3,42,73
CENTRAL,50,FS50,Ascot Vale,nonInc,25,145,88.4,7.88,3,43,48
CENTRAL,50,FS50,Ascot Vale,emInc,164,145,88.4,7.88,3,43,48
SOUTHERN D1,32,FS32,Ormond,nonInc,35,148,88.1,7.83,3,44,62
SOUTHERN D1,32,FS32,Ormond,emInc,168,148,88.1,7.83,3,44,62
WESTERN D2,48,FS48,Taylors Lakes,nonInc,8,37,88.1,7.43,3,45,49
WESTERN D2,48,FS48,Taylors Lakes,emInc,42,37,88.1,7.43,3,45,49
EASTERN,85,FS85,Boronia,nonInc,16,52,88.1,7.92,3,46,28
EASTERN,85,FS85,Boronia,emInc,59,52,88.1,7.92,3,46,28
SOUTHERN D2,91,FS91,Frankston,nonInc,26,162,88,8.18,3,47,26
SOUTHERN D2,91,FS91,Frankston,emInc,184,162,88,8.18,3,47,26
CENTRAL,18,FS18,Hawthorn,nonInc,24,148,87.6,7.87,3,48,47
CENTRAL,18,FS18,Hawthorn,emInc,169,148,87.6,7.87,3,48,47
EASTERN,19,FS19,North Balwyn,nonInc,20,90,87.4,8.28,3,49,61
EASTERN,19,FS19,North Balwyn,emInc,103,90,87.4,8.28,3,49,61
WESTERN D2,41,FS41,St Albans,nonInc,27,90,87.4,8.22,3,50,13
WESTERN D2,41,FS41,St Albans,emInc,103,90,87.4,8.22,3,50,13
NORTH & WEST REGIONAL,72,FS72,Mildura,nonInc,10,82,87.2,8.57,3,51,33
NORTH & WEST REGIONAL,72,FS72,Mildura,emInc,94,82,87.2,8.57,3,51,33
NORTHERN,9,FS9,Somerton,nonInc,12,40,87,7.95,3,52,20
NORTHERN,9,FS9,Somerton,emInc,46,40,87,7.95,3,52,20
CENTRAL,13,FS13,Northcote,nonInc,29,103,86.6,7.95,3,53,59
CENTRAL,13,FS13,Northcote,emInc,119,103,86.6,7.95,3,53,59
NORTHERN,7,FS7,Thomastown,nonInc,18,90,86.5,8.02,3,54,45
NORTHERN,7,FS7,Thomastown,emInc,104,90,86.5,8.02,3,54,45
SOUTHERN D2,87,FS87,Dandenong,nonInc,50,182,86.3,8.48,3,55,56
SOUTHERN D2,87,FS87,Dandenong,emInc,211,182,86.3,8.48,3,55,56
NORTHERN,80,FS80,Craigieburn,nonInc,37,80,86,8.32,3,56,77
NORTHERN,80,FS80,Craigieburn,emInc,93,80,86,8.32,3,56,77
NORTHERN,5,FS5,Broadmeadows,nonInc,42,171,85.9,8.68,3,57,69
NORTHERN,5,FS5,Broadmeadows,emInc,199,171,85.9,8.68,3,57,69
NORTH & WEST REGIONAL,70,FS70,Warrnambool,nonInc,10,76,85.4,8.17,3,58,60
NORTH & WEST REGIONAL,70,FS70,Warrnambool,emInc,89,76,85.4,8.17,3,58,60
WESTERN D1,46,FS46,Altona,nonInc,6,28,84.8,7.85,3,59,57
WESTERN D1,46,FS46,Altona,emInc,33,28,84.8,7.85,3,59,57
NORTHERN,11,FS11,Epping,nonInc,10,71,84.5,8.08,3,60,23
NORTHERN,11,FS11,Epping,emInc,84,71,84.5,8.08,3,60,23
SOUTH & EAST REGIONAL,79,FS79,Latrobe West,nonInc,2,38,84.4,8.1,3,61,53
SOUTH & EAST REGIONAL,79,FS79,Latrobe West,emInc,45,38,84.4,8.1,3,61,53
SOUTHERN D2,92,FS92,Cranbourne,nonInc,46,107,84.3,8.48,3,62,67
SOUTHERN D2,92,FS92,Cranbourne,emInc,127,107,84.3,8.48,3,62,67
SOUTHERN D2,90,FS90,Patterson River,nonInc,14,58,84.1,8.32,3,63,75
SOUTHERN D2,90,FS90,Patterson River,emInc,69,58,84.1,8.32,3,63,75
WESTERN D3,62,FS62,Corio,nonInc,33,118,83.7,8.32,3,64,64
WESTERN D3,62,FS62,Corio,emInc,141,118,83.7,8.32,3,64,64
SOUTHERN D1,24,FS24,Malvern,nonInc,30,121,83.4,8.92,3,65,30
SOUTHERN D1,24,FS24,Malvern,emInc,145,121,83.4,8.92,3,65,30
SOUTHERN D1,34,FS34,Highett,nonInc,30,130,83.3,8.57,3,66,68
SOUTHERN D1,34,FS34,Highett,emInc,156,130,83.3,8.57,3,66,68
SOUTH & EAST REGIONAL,75,FS75,Shepparton,nonInc,10,109,83.2,8.47,3,67,41
SOUTH & EAST REGIONAL,75,FS75,Shepparton,emInc,131,109,83.2,8.47,3,67,41
SOUTHERN D2,93,FS93,Pakenham,nonInc,22,64,83.1,8.65,3,68,58
SOUTHERN D2,93,FS93,Pakenham,emInc,77,64,83.1,8.65,3,68,58
WESTERN D1,40,FS40,Laverton,nonInc,10,53,82.8,8.98,3,69,74
WESTERN D1,40,FS40,Laverton,emInc,64,53,82.8,8.98,3,69,74
SOUTHERN D2,88,FS88,Hallam,nonInc,35,95,82.6,8.5,3,70,55
SOUTHERN D2,88,FS88,Hallam,emInc,115,95,82.6,8.5,3,70,55
EASTERN,30,FS30,Templestowe,nonInc,9,56,82.4,9.12,3,71,40
EASTERN,30,FS30,Templestowe,emInc,68,56,82.4,9.12,3,71,40
SOUTH & EAST REGIONAL,76,FS76,Wodonga,nonInc,10,55,82.1,8.47,3,72,66
SOUTH & EAST REGIONAL,76,FS76,Wodonga,emInc,67,55,82.1,8.47,3,72,66
EASTERN,82,FS82,Eltham City,nonInc,10,49,81.7,8.83,3,73,39
EASTERN,82,FS82,Eltham City,emInc,60,49,81.7,8.83,3,73,39
WESTERN D2,52,FS52,Tullamarine,nonInc,18,69,81.2,8.48,3,74,80
WESTERN D2,52,FS52,Tullamarine,emInc,85,69,81.2,8.48,3,74,80
WESTERN D2,51,FS51,Keilor,nonInc,25,63,80.8,8.6,3,75,36
WESTERN D2,51,FS51,Keilor,emInc,78,63,80.8,8.6,3,75,36
SOUTHERN D1,89,FS89,Springvale,nonInc,27,77,80.2,8.4,3,76,63
SOUTHERN D1,89,FS89,Springvale,emInc,96,77,80.2,8.4,3,76,63
WESTERN D1,58,FS58,Point Cook,nonInc,20,76,79.2,9.37,3,77,79
WESTERN D1,58,FS58,Point Cook,emInc,96,76,79.2,9.37,3,77,79
WESTERN D1,57,FS57,Tarneit,nonInc,42,120,77.9,9.05,3,78,82
WESTERN D1,57,FS57,Tarneit,emInc,154,120,77.9,9.05,3,78,82
WESTERN D1,45,FS45,Spotswood,nonInc,27,74,76.3,8.9,3,79,71
WESTERN D1,45,FS45,Spotswood,emInc,97,74,76.3,8.9,3,79,71
WESTERN D1,59,FS59,Derrimut,nonInc,10,56,75.7,8.73,3,80,85
WESTERN D1,59,FS59,Derrimut,emInc,74,56,75.7,8.73,3,80,85
WESTERN D2,56,FS56,Melton,nonInc,32,117,71.3,10.13,3,81,78
WESTERN D2,56,FS56,Melton,emInc,164,117,71.3,10.13,3,81,78
WESTERN D2,55,FS55,Caroline Springs,nonInc,21,99,67.8,9.57,3,82,84
WESTERN D2,55,FS55,Caroline Springs,emInc,146,99,67.8,9.57,3,82,84
EASTERN,84,FS84,South Warrandyte,nonInc,1,12,60,9.57,3,83,70
EASTERN,84,FS84,South Warrandyte,emInc,20,12,60,9.57,3,83,70
WESTERN D2,54,FS54,Greenvale,nonInc,9,23,59,12.83,3,84,81
WESTERN D2,54,FS54,Greenvale,emInc,39,23,59,12.83,3,84,81
WESTERN D3,61,FS61,Lara,nonInc,0,18,39.1,10.73,3,85,83
WESTERN D3,61,FS61,Lara,emInc,46,18,39.1,10.73,3,85,83
WESTERN D3,66,FS66,Ocean Grove,nonInc,6,26,100,5.85,4,1,1
WESTERN D3,66,FS66,Ocean Grove,emInc,26,26,100,5.85,4,1,1
CENTRAL,1,FS1,Eastern Hill,nonInc,24,356,97.5,5.62,4,2,2
CENTRAL,1,FS1,Eastern Hill,emInc,365,356,97.5,5.62,4,2,2
CENTRAL,3,FS3,Carlton,nonInc,28,338,97.1,6.52,4,3,3
CENTRAL,3,FS3,Carlton,emInc,348,338,97.1,6.52,4,3,3
NORTH & WEST REGIONAL,67,FS67,Ballarat City,nonInc,12,85,96.6,6.52,4,4,4
NORTH & WEST REGIONAL,67,FS67,Ballarat City,emInc,88,85,96.6,6.52,4,4,4
EASTERN,23,FS23,Burwood,nonInc,39,121,95.3,7.3,4,5,5
EASTERN,23,FS23,Burwood,emInc,127,121,95.3,7.3,4,5,5
SOUTHERN D2,95,FS95,Rosebud,nonInc,13,59,95.2,7.08,4,6,6
SOUTHERN D2,95,FS95,Rosebud,emInc,62,59,95.2,7.08,4,6,6
CENTRAL,2,FS2,West Melbourne,nonInc,30,310,95.1,6.65,4,7,7
CENTRAL,2,FS2,West Melbourne,emInc,326,310,95.1,6.65,4,7,7
SOUTHERN D1,29,FS29,Clayton,nonInc,25,102,94.4,7.43,4,8,8
SOUTHERN D1,29,FS29,Clayton,emInc,108,102,94.4,7.43,4,8,8
WESTERN D3,63,FS63,Geelong City,nonInc,29,148,93.7,7.15,4,9,9
WESTERN D3,63,FS63,Geelong City,emInc,158,148,93.7,7.15,4,9,9
EASTERN,20,FS20,Box Hill,nonInc,32,134,93.1,7.43,4,10,10
EASTERN,20,FS20,Box Hill,emInc,144,134,93.1,7.43,4,10,10
EASTERN,26,FS26,Croydon,nonInc,32,95,93.1,6.9,4,11,11
EASTERN,26,FS26,Croydon,emInc,102,95,93.1,6.9,4,11,11
NORTHERN,12,FS12,Preston,nonInc,38,170,92.9,7.67,4,12,12
NORTHERN,12,FS12,Preston,emInc,183,170,92.9,7.67,4,12,12
WESTERN D2,41,FS41,St Albans,nonInc,42,105,92.9,7.85,4,13,13
WESTERN D2,41,FS41,St Albans,emInc,113,105,92.9,7.85,4,13,13
CENTRAL,38,FS38,South Melbourne,nonInc,35,363,92.8,6.87,4,14,14
CENTRAL,38,FS38,South Melbourne,emInc,391,363,92.8,6.87,4,14,14
SOUTH & EAST REGIONAL,78,FS78,Morwell,nonInc,5,59,92.2,7.32,4,15,15
SOUTH & EAST REGIONAL,78,FS78,Morwell,emInc,64,59,92.2,7.32,4,15,15
CENTRAL,10,FS10,Richmond,nonInc,31,258,92.1,7.27,4,16,16
CENTRAL,10,FS10,Richmond,emInc,280,258,92.1,7.27,4,16,16
CENTRAL,4,FS4,Brunswick,nonInc,26,213,91.8,7.57,4,17,17
CENTRAL,4,FS4,Brunswick,emInc,232,213,91.8,7.57,4,17,17
EASTERN,27,FS27,Nunawading,nonInc,36,110,91.7,7.3,4,18,18
EASTERN,27,FS27,Nunawading,emInc,120,110,91.7,7.3,4,18,18
EASTERN,28,FS28,Vermont South,nonInc,43,133,91.7,7.5,4,19,19
EASTERN,28,FS28,Vermont South,emInc,145,133,91.7,7.5,4,19,19
NORTHERN,9,FS9,Somerton,nonInc,14,65,91.5,7.65,4,20,20
NORTHERN,9,FS9,Somerton,emInc,71,65,91.5,7.65,4,20,20
SOUTHERN D1,86,FS86,Rowville,nonInc,15,53,91.4,7.02,4,21,21
SOUTHERN D1,86,FS86,Rowville,emInc,58,53,91.4,7.02,4,21,21
EASTERN,22,FS22,Ringwood,nonInc,48,124,91.2,7.57,4,22,22
EASTERN,22,FS22,Ringwood,emInc,136,124,91.2,7.57,4,22,22
NORTHERN,11,FS11,Epping,nonInc,23,101,91,8,4,23,23
NORTHERN,11,FS11,Epping,emInc,111,101,91,8,4,23,23
WESTERN D2,44,FS44,Sunshine,nonInc,40,153,90.5,7.75,4,24,24
WESTERN D2,44,FS44,Sunshine,emInc,169,153,90.5,7.75,4,24,24
